id,title,budget_clean,revenue_clean,roi
54318,The Water Horse,40000000,103071443,2.576786075
10191,How to Train Your Dragon,165000000,494878759,2.999265206
9906,The Ant Bully,50000000,55181129,1.10362258
810,Shrek the Third,160000000,798958165,4.993488531
102651,Maleficent,180000000,758539785,4.214109917
27022,The Sorcerer's Apprentice,150000000,215283742,1.435224947
11527,Excalibur,11000000,34967437,3.178857909
10882,Sleeping Beauty,6000000,51000000,8.5
408,Snow White and the Seven Dwarfs,1488423,184925486,124.2425614
9479,The Nightmare Before Christmas,18000000,75634409,4.201911611
18937,Quest for Camelot,40000000,38172500,0.9543125
11704,The Secret of NIMH,7000000,14665733,2.095104714
856,Who Framed Roger Rabbit,70000000,329803958,4.711485114
35614,A Troll in Central Park,23000000,71368,0.003102957
293863,The Age of Adaline,25000000,65663276,2.62653104
11352,Always,31000000,74134790,2.391444839
162,Edward Scissorhands,20000000,53000000,2.65
109491,Beautiful Creatures,60000000,60052138,1.000868967
123,The Lord of the Rings,4000000,30471420,7.617855
2280,Big,18000000,151668774,8.426043
11395,The Santa Clause,22000000,189833357,8.628788955
9598,Babe,30000000,254134910,8.471163667
577,To Die For,20000000,21284514,1.0642257
1491,The Illusionist,40000000,86915017,2.172875425
11559,Tideland,12000000,566611,0.047217583
4922,The Curious Case of Benjamin Button,150000000,333932083,2.226213887
251,Ghost,22000000,505000000,22.95454545
141,Donnie Darko,6000000,1270522,0.211753667
297,Meet Joe Black,90000000,142940100,1.588223333
4958,The Legend of Bagger Vance,80000000,39459427,0.493242838
13245,Atanarjuat: The Fast Runner,1934000,3786801,1.958014995
7980,The Lovely Bones,65000000,93525586,1.438855169
28501,The Pit and the Pendulum,200000,2000000,10
19901,Daybreakers,20000000,51416464,2.5708232
60304,Hansel & Gretel: Witch Hunters,50000000,224803475,4.4960695
10263,Tamara,4750000,206871,0.043551789
46261,Don't Be Afraid of the Dark,25000000,36993168,1.47972672
10285,Jason Goes to Hell: The Final Friday,3000000,15938065,5.312688333
9306,The Island of Dr. Moreau,40000000,49627779,1.240694475
26515,Pumpkinhead,3500000,4385516,1.253004571
33061,Troll,1100000,5450815,4.955286364
19585,G-Force,150000000,292817841,1.95211894
2486,Eragon,100000000,249288105,2.49288105
82702,How to Train Your Dragon 2,145000000,609123048,4.200848607
308531,Teenage Mutant Ninja Turtles: Out of the Shadows,135000000,245623848,1.819435911
12437,Underworld: Rise of the Lycans,35000000,91353501,2.610100029
849,Krull,27000000,16519460,0.611831852
274854,The Last Witch Hunter,90000000,146936910,1.632632333
49524,R.I.P.D.,130000000,61648500,0.474219231
16191,Highway to Hell,9000000,26055,0.002895
277,Underworld,22000000,95708457,4.350384409
9495,The Crow,15000000,94000000,6.266666667
440,Aliens vs Predator: Requiem,40000000,41797066,1.04492665
10529,Outlander,50000000,7033683,0.14067366
557,Spider-Man,139000000,821708551,5.911572309
224141,Into the Woods,50000000,212902372,4.25804744
11962,Joe's Apartment,13000000,4619014,0.355308769
12107,Nutty Professor II: The Klumps,84000000,123307945,1.467951726
9327,The Nutty Professor,54000000,128769345,2.3846175
10019,Mannequin,6000000,42721196,7.120199333
28117,Delirious,18000000,5546827,0.308157056
10849,The Purple Rose of Cairo,15000000,10631333,0.708755533
10202,Bedtime Stories,80000000,212874442,2.660930525
8839,Casper,50000000,287928194,5.75856388
11283,Nanny McPhee,25000000,122489822,4.89959288
2698,Evan Almighty,175000000,173000000,0.988571429
322240,Nine Lives,30000000,57814445,1.927148167
4244,The Kid,65000000,69700000,1.072307692
888,The Flintstones,46000000,341631208,7.426765391
9021,The Santa Clause 2,65000000,172855065,2.659308692
1832,Dogma,10000000,30652890,3.065289
228161,Home,135000000,368871007,2.73237783
34376,Mannequin Two: On the Move,13000000,3752426,0.288648154
10208,Muppets from Space,24000000,16290976,0.678790667
9374,Death Becomes Her,55000000,149022650,2.709502727
310,Bruce Almighty,80000000,484572835,6.057160438
4011,Beetlejuice,15000000,73326666,4.8884444
49730,Red Riding Hood,42000000,89162162,2.122908619
47327,Drive Angry,50000000,28931401,0.57862802
167810,Lost River,2000000,45431,0.0227155
24808,Something Wicked This Way Comes,19000000,5656087,0.297688789
14517,Mirrormask,4000000,866999,0.21674975
205584,Gods of Egypt,140000000,150680864,1.076291886
8840,DragonHeart,57000000,115267375,2.022234649
10693,Peter Pan,4000000,87404651,21.85116275
